,Forecasted_Value
2021-10-31,22356073.51924855
2021-11-30,26066297.451419763
2021-12-31,32257234.65810208
2022-01-31,27817338.084701307
2022-02-28,18463573.547743596
2022-03-31,-1499931.8579805493
2022-04-30,-23581917.285048477
2022-05-31,-42751299.142030135
2022-06-30,-38683036.98530267
2022-07-31,-23421950.89726032
2022-08-31,18386290.006975416
2022-09-30,60183251.575165346
2022-10-31,105127275.67371207
2022-11-30,119034430.94307484
2022-12-31,101574613.15042931
2023-01-31,38822900.08642669
2023-02-28,-41360786.30372691
2023-03-31,-133549981.13623543
2023-04-30,-186561993.52137548
2023-05-31,-195074601.6544013
2023-06-30,-118184056.10453272
2023-07-31,10469395.102850378
2023-08-31,183282346.2672383
2023-09-30,323407355.4316829
2023-10-31,403384821.772353
2023-11-30,350398167.8040537
2023-12-31,182813692.99540818
2024-01-31,-103742497.6252389
2024-02-29,-400668576.7475021
2024-03-31,-648227929.3502452
2024-04-30,-708707822.8452652
2024-05-31,-559817186.1813242
2024-06-30,-155616177.08670163
2024-07-31,380664445.092174
2024-08-31,947620392.3143265
2024-09-30,1307173428.2155328
2024-10-31,1342321632.199384
2024-11-30,900750213.7172872
2024-12-31,78570955.90336227
2025-01-31,-1007966342.7810122
2025-02-28,-1982817391.840101
2025-03-31,-2560899997.2642326
2025-04-30,-2366034272.285259
2025-05-31,-1353094626.6288028
2025-06-30,428762628.4253094
2025-07-31,2471835798.6652308
2025-08-31,4244709751.054028
2025-09-30,4965673348.819701
2025-10-31,4230764000.4068527
2025-11-30,1801195187.6613235
2025-12-31,-1800242479.21202
2026-01-31,-5770560154.321844
2026-02-28,-8703182824.22331
2026-03-31,-9471214747.854713
2026-04-30,-7100387428.576782
2026-05-31,-1762186012.87537
2026-06-30,5644036245.54676
2026-07-31,12921013464.224884
2026-08-31,17725459488.26612
2026-09-30,17567083673.894226
2026-10-31,11439371877.40704
2026-11-30,-306644627.4015331
2026-12-31,-14834193921.173632
2027-01-31,-28109140405.571888
2027-02-28,-34975941738.85848
2027-03-31,-31709365673.441093
2027-04-30,-16539502888.05555
2027-05-31,8051277811.075432
2027-06-30,36343044397.49309
2027-07-31,59201132660.59325
2027-08-31,67733873335.39168
2027-09-30,54951696090.2066
2027-10-31,20204668785.02191
2027-11-30,-30602864912.91008
2027-12-31,-83645236340.60977
2028-01-31,-121724766887.9331
2028-02-29,-127407602633.42032
2028-03-31,-90987008135.86728
2028-04-30,-13659655269.428375
2028-05-31,87840688688.52203
2028-06-30,185410140244.37115
2028-07-31,243820996446.87268
2028-08-31,233670541044.8183
2028-09-30,140180983469.88318
2028-10-31,-25021572227.301422
2028-11-30,-224279751562.13068
2028-12-31,-396902820278.59094
2029-01-31,-477632883223.673
2029-02-28,-414242682726.4147
2029-03-31,-192707183807.14514
2029-04-30,152304679763.16138
2029-05-31,532577152996.5294
