,Forecasted_Value
2021-12-30,10120726.527380109
2021-12-31,10113734.797392445
2022-01-01,10113183.412014702
2022-01-02,10112632.26139298
2022-01-03,10112081.345427336
2022-01-04,10111530.664017858
2022-01-05,10110980.217064686
2022-01-06,10110430.004467994
2022-01-07,10109880.026128009
2022-01-08,10109330.28194499
2022-01-09,10108780.771819245
2022-01-10,10108231.495651122
2022-01-11,10107682.453341015
2022-01-12,10107133.644789351
2022-01-13,10106585.069896612
2022-01-14,10106036.728563312
2022-01-15,10105488.620690014
2022-01-16,10104940.746177321
2022-01-17,10104393.104925876
2022-01-18,10103845.696836367
2022-01-19,10103298.521809526
2022-01-20,10102751.579746122
2022-01-21,10102204.87054697
2022-01-22,10101658.39411293
2022-01-23,10101112.150344895
2022-01-24,10100566.13914381
2022-01-25,10100020.360410655
2022-01-26,10099474.81404646
2022-01-27,10098929.499952286
2022-01-28,10098384.418029247
2022-01-29,10097839.568178494
